"ID_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASC","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
337949,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,"2000",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
340174,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,"2001",N,A0,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,N
184717,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,"1980",N,A0,,,N
337821,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CRUZEIRO,BEZERROS,PE,M,"1999",S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
336777,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,"2000",S,L1,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
336307,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,"2001",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
322100,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,BOA VISTA,CARUARU,PE,M,"1994",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
339447,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,VALE DO IPOJUCA,GRAVATA,PE,F,"2001",N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
340210,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,GRAVATA,PE,F,"2001",S,L1,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
340431,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,NORTE,GRAVATA,PE,M,"2000",S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
205771,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"1991",N,A0,,,N
340726,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,MUTIRÃO,CAMOCIM DE SAO FELIX,PE,F,"2001",S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
340382,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BREJO DA MADRE DE DEUS,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,F,"1997",N,A0,ALFABETIZADO SEM CURSOS REGULARES,ENSINO FUNDAMENTAL,N
341182,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BREJO DA MADRE DE DEUS,PE,BRA,SAO FRANCISCO,CARUARU,PE,F,"1998",N,A0,ALFABETIZADO SEM CURSOS REGULARES,APERFEICOAMENTO,N
342516,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CACHOEIRINHA,PE,BRA,CENTRO,CACHOEIRINHA,PE,M,"1998",N,A0,ALFABETIZADO SEM CURSOS REGULARES,ENSINO FUNDAMENTAL,N
342133,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAMOCIM DE SAO FELIX,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,F,"1997",S,L1,ENSINO FUNDAMENTAL,ALFABETIZADO SEM CURSOS REGULARES,N
331633,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAMOCIM DE SAO FELIX,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,F,"1998",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
341129,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,ALTINHO,PE,F,"2002",S,L1,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
338171,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,BELO JARDIM,PE,F,"2002",N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
340742,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BONITO,PE,M,"2001",S,L5,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
342526,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,F,"2002",S,L5,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,N
338578,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,CAMOCIM DE SAO FELIX,PE,M,"2001",S,L5,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
221163,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,F,"1989",N,A0,,,N
232856,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,"1989",S,L2,,,N
340725,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTENARIO,CARUARU,PE,F,"2001",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
338394,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,"2001",S,L2,,ENSINO MEDIO,N
336765,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,F,"2001",S,L2,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
341084,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SÃO JOÃO DA ESCOCIA,CARUARU,PE,F,"2001",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
341054,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,PETROPOLIS,CARUARU,PE,F,"2001",S,L2,APERFEICOAMENTO,ENSINO MEDIO,N
341105,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,"2001",S,L5,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
339887,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,KENNEDY,CARUARU,PE,F,"2002",S,L6,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340166,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,"2002",S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
185874,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"1987",S,L5,,,N
272003,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,"1993",S,L6,,,N
340907,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,"1994",N,A0,ENSINO MEDIO,APERFEICOAMENTO,N
340750,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"1996",S,L5,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,N
338418,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,"1997",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
336904,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"1997",N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
340665,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"1997",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338182,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CAIUCA,CARUARU,PE,M,"1997",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
340514,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"2000",S,L2,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338650,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"2000",S,L6,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338497,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,"2000",S,L6,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
340719,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,M,"2001",S,L5,APERFEICOAMENTO,ENSINO SUPERIOR,N
340315,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"2001",S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
337315,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,"2002",N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
340803,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MARIA AUXILIADORA,CARUARU,PE,M,"2002",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
338146,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,"2002",N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
341272,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,"2002",S,L5,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
338614,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,"2002",S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL,N
338315,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,"2002",S,L6,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338523,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"1999",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340743,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2001",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
340903,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2001",S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
338544,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2002",N,A0,SUPERIOR INCOMPLETO,ENSINO SUPERIOR,N
337794,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,ZONA RURAL,RECIFE,PE,M,"1996",S,L9,ALFABETIZADO SEM CURSOS REGULARES,ALFABETIZADO SEM CURSOS REGULARES,S
338229,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"1999",S,L6,ALFABETIZADO SEM CURSOS REGULARES,ALFABETIZADO SEM CURSOS REGULARES,N
338339,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2000",N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
337356,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2001",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
338144,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2002",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
337861,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,F,"2002",S,L5,SEGUNDO GRAU INCOMPLETO,APERFEICOAMENTO,N
342379,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,SAO BENTO DO UNA,PE,F,"2001",S,L1,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
340108,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,SAO CAITANO,PE,M,"2000",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
340450,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,VERTENTES,PE,M,"2001",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
336487,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CATENDE,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,M,"2000",S,L6,SUPERIOR INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
340927,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CATENDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2002",N,A0,ENSINO MEDIO,APERFEICOAMENTO,N
342132,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,M,"2001",S,L1,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
340153,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FEIRA NOVA,PE,BRA,CENTRO,FEIRA NOVA,PE,M,"2001",N,A0,SEGUNDO GRAU INCOMPLETO,APERFEICOAMENTO,N
319955,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FORTALEZA,CE,BRA,UNIVERSITARIO,CARUARU,PE,F,"2000",N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
337251,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FREI MIGUELINHO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2001",S,L1,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
337328,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,LOTEAMENTO NOVO JARDIM,BOM CONSELHO,PE,M,"2002",N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
340695,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2002",N,A0,ENSINO MEDIO,APERFEICOAMENTO,N
340805,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CENTRO,BEZERROS,PE,M,"1998",N,A0,SUPERIOR INCOMPLETO,ENSINO MEDIO,N
338196,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,BOA VISTA,GRAVATA,PE,M,"2001",N,A0,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
338461,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,NORTE,GRAVATA,PE,M,"2001",S,L6,SUPERIOR INCOMPLETO,ENSINO MEDIO,N
254320,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,BOA VIAGEM,RECIFE,PE,F,"1993",S,L5,,,N
342376,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2000",S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
278057,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"1995",N,A0,,,N
320616,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GUARULHOS,SP,BRA,BOA VISTA,CARUARU,PE,M,"2000",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340707,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JABOATAO DOS GUARARAPES,PE,BRA,CENTRO,BONITO,PE,M,"2001",N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
341064,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JABOATAO DOS GUARARAPES,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,"1999",S,L5,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
293156,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LAJEDO,PE,BRA,MICROONDAS,LAJEDO,PE,F,"1998",N,A0,,,N
337397,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LAJEDO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2002",S,L1,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338163,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LIMOEIRO,PE,BRA,CENTRO,LIMOEIRO,PE,M,"2001",N,A0,APERFEICOAMENTO,APERFEICOAMENTO,N
309272,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MAUA,SP,BRA,DIVINOPOLIS,CARUARU,PE,M,"1995",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
338109,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MAUA,SP,BRA,SÃO SEBASTIÃO,SURUBIM,PE,F,"1999",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
336476,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,MOMBAÇA,CE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"1997",S,L6,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
336060,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PALMARES,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2002",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
342134,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,COHAB I,BELO JARDIM,PE,F,"1998",S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
341026,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,PESQUEIRA,PE,BRA,JARDIM CIDADE UNIVERSITARIA,JOAO PESSOA,PB,M,"1996",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
336917,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,SAO CRISTOVAO,ARCOVERDE,PE,F,"2001",S,L2,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
338564,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,BOA VISTA,BELO JARDIM,PE,M,"2001",N,A0,ENSINO FUNDAMENTAL,ENSINO SUPERIOR,N
340383,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,COHAB,CABO DE SANTO AGOSTINHO,PE,M,"1998",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
338304,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,CENTRO,CAMARAGIBE,PE,M,"2001",N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
248555,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,UNIVERSITARIO,CARUARU,PE,F,"1987",S,L5,,,N
340321,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,RECIFE,PE,BRA,SALGADO,CARUARU,PE,F,"1994",N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
